original_name,display_name
LモンキーターンV,LモンキーV
ゴーゴージャグラー3,ゴージャグ
ハッピージャグラーVIII,ハッピジャグ
ジャグラーガールズSS,ジャグガール
ネオアイムジャグラーEX,ネオアイム
ファンキージャグラー2KT,ファンキー
マイジャグラーV,マイジャグ
ウルトラミラクルジャグラー,ウルミラ
L主役は銭形5,L銭形5
Lからくりサーカス,Lからくり
Lゴッドイーター リザレクション,Lゴッドイーター
L化物語,L化物語
L革命機ヴァルヴレイヴ2,Lヴヴヴ2
Lマギアレコード,Lマギレコ
Lかぐや様は告らせたい,Lかぐや様
L秘宝伝,L秘宝伝
L新鬼武者3,L新鬼3
Lスマスロ北斗,L北斗
L北斗 転生の章2,L北斗転生
L東京リベンジャーズ,L東リベ
L鉄拳6,L鉄拳6
Lモンスターハンターライズ,Lモンハン
LアズールレーンTHE ANIMATION,Lアズレン
Lとある科学の超電磁砲2,Lとある
L東京喰種,東京喰種
沖ドキ!GOLD-30,沖GOLD
沖ドキ!ゴージャス-30,沖ゴージャス
沖ドキ!BLACK,沖BLACK
L南国育ち,L南国育ち
L沖ドキ!DUO アンコール,L沖ドキ!DUO
LBクレアの秘宝伝,LBクレア
LB SHAKE BONUS TRIGGER,LBシェイク
LBエヴァンゲリヲン約束の扉,LBエヴァ
L少女☆歌劇レヴュースタァライト,Lレヴュースタァライト
L絶対衝激IV,L絶対衝激IV
Lバーニングエクスプレス,Lバーニング
Lコードギアス 復活のルルーシュ,ギアス復活
甲鉄城のカバネリ,カバネリ
交響詩篇エウレカセブンTYPE-ART,エウレカTYPE-ART
新ハナビ,新ハナビ
バーサスリヴァイズ,バーサス
クランキークレスト,クラクレ
Lネオプラネット,Lネオプラ
LBマジカルハロウィン ボーナストリガー,LBマジハロ
LBニューパルサー,LBニューパル
Lドルアーガの塔,Lドルアーガ
L炎炎ノ消防隊,L炎炎
L回胴黙示録カイジ 狂宴,Lカイジ
L七つの魔剣が支配する,L七つの魔剣
L ToLOVEるダークネスver.8.7,L ToLOVEるver.8.7
L To LOVEるダークネス,L To LOVEる
Lルパン三世 大航海者の秘宝,Lルパン三世
L防振り,L防振り
LBアレックス ブライト,LBアレックス
Lバイオハザード5,Lバイオ5
Lバジリスク絆2天膳BLACK,Lバジ天膳
L押忍!番長4,L番長4
Lいざ!番長,Lいざ番長
L戦国乙女4,L戦国乙女4
Lスーパーブラックジャック,Lブラックジャック
Lアリフレタ職業デ世界最強,Lアリフレ
Lマジカルハロウィン8,Lマジハロ8
LB翔べ!ハーレムエース,LBハーレムエース
Lバキ強くなりたくば喰らえ,Lバキ
L頭文字D 2nd,LイニD2
Lヨウコソ実力至上主義ノ教室ヘ,L実力至上主義
L転生したら剣でした,L転剣
Lデビルメイクライ5スタイリッシュトライブ,Lデビルメイ5
L吉宗,L吉宗
Lわたしの幸せな結婚,L幸せな結婚
